ReshId;ShNavnInt;ShNavn;ReshIdTab;RHF;HF;Hospital;HealthUnitName;HealthUnitShortName;HealthUnitId;niva;KategoriTxt;IkkeMatch
109363;Haukel. Brannsk;Brannskaden;109363;Helse Vest;Helse Bergen HF;Haukeland;Haukeland universitetssykehus;Haukeland;103;2b;Generell <50;
103090;Bærum;Bærum;103090;Helse Sør-Øst;Vestre Viken HF;Bærum;Bærum sykehus;Bærum;110;2b;Generell <50;
108897;Diakonhjemmet;Diakonhjemmet ;108897;Privat;Diakonhjemmet sykehus AS;Diakonhjemmet;Diakonhjemmet sykehus;Diakonhjemmet;141;2b;Generell <50;
103620;Drammen;Drammen;103620;Helse Sør-Øst;Vestre Viken HF;Drammen;Drammen sykehus;Drammen;111;2b;Generell <50;
108609;Elverum;Elverum;108609;Helse Sør-Øst;Sykehuset Innlandet HF;Sykehuset Innlandet;Elverum;Elverum;196;2b;Generell <50;
105282;Førde;Førde;105282;Helse Vest;Helse Førde HF;Førde;Førde sentralsjukehus;Førde;114;2b;Generell <50;
701577;Førde;Førde;105282;Helse Vest;Helse Førde HF;Førde;Førde sentralsjukehus;Førde;114;2b;Generell <50;
108618;Gjøvik;Gjøvik;108618;Helse Sør-Øst;Sykehuset Innlandet HF;Sykehuset Innlandet;Gjøvik;Gjøvik;192;2b;Generell <50;
108610;Hamar;Hamar;108610;Helse Sør-Øst;Sykehuset Innlandet HF;Sykehuset Innlandet;Hamar;Hamar;1010;2b;Generell <50;
101858;Hammerfest;Hammerfest;101858;Helse Nord;Finnmarkssykehuset HF;Finnmarkssykehuset;Hammerfest;Hammerfest;180;2b;Generell <50;
100180;Haraldplass;Haraldplass;100180;Privat;Haraldsplass Diakonale sykehus AS;Haraldsplass;Haraldsplass Diakonale sykehus;Haraldsplass;156;2b;Generell <50;
700617;Harstad;Harstad;700617;Helse Nord;Universitetssykehuset Nord-Norge HF;Harstad;UNN Harstad;Harstad;135;2b;Generell <50;
100273;Haugesund;Haugesund;100273;Helse Vest;Helse Fonna HF;Haugesund;Haugesund sjukehus;Haugesund;113;2b;Generell <50;
112044;Haukel. KSK Int.;Haukel. KSK Int. ;112044;Helse Vest;Helse Bergen HF;Haukeland;Haukeland universitetssykehus;Haukeland;103;3;Generell >50;
105048;Haukel. MIO;Haukel. MIO;105048;Helse Vest;Helse Bergen HF;Haukeland;Haukeland universitetssykehus;Haukeland;103;2b;Generell <50;
107930;Haukel. MOE;Haukel. MOE;107930;Helse Vest;Helse Bergen HF;Haukeland;Haukeland universitetssykehus;Haukeland;103;1a;Overvaking;
106271;Haukel. Postop;Haukel. Postop;106271;Helse Vest;Helse Bergen HF;Haukeland;Haukeland universitetssykehus;Haukeland;103;1b;Postoperativ;
107717;Haukel. ROE;Haukel. ROE;107717;Helse Vest;Helse Bergen HF;Haukeland;Haukeland universitetssykehus;Haukeland;103;1a;Overvaking;
106285;Haukel. TIO;Haukel. TIO;106285;Helse Vest;Helse Bergen HF;Haukeland;Haukeland universitetssykehus;Haukeland;103;3b;Spesial;
4209889;KalnesØstf.;Kalnes/Østf.;4209889;Helse Sør-Øst;Sykehuset Østfold HF;Østfold;Kalnes;Kalnes;1011;2b;Generell <50;
101830;Kirkenes;Kirkenes;101830;Helse Nord;Finnmarkssykehuset HF;Finnmarkssykehuset;Kirkenes;Kirkenes;181;2b;Generell <50;
4208715;Kongsberg;Kongsberg;4208715;Helse Sør-Øst;Vestre Viken HF;Kongsberg;Kongsberg sykehus;Kongsberg;133;2b;Generell <50;
114240;Kristiansand;Kristiansand ;114240;Helse Sør-Øst;Sørlandet sykehus HF;Sørlandet sykehus;Kristiansand;Kristiansand;1013;2b;Generell <50;
706078;Kristiansund;Kristiansund;706078;Helse Midt-Norge;Helse Møre og Romsdal HF;Kristiansund;Kristiansund sjukehus;Kristiansund;124;2b;Generell <50;
102250;Levanger;Levanger;102250;Helse Midt-Norge;Helse Nord-Trøndelag HF;Levanger;Sykehuset Levanger;Levanger;118;2b;Generell <50;
108626;Lillehammer;Lillehammer;108626;Helse Sør-Øst;Sykehuset Innlandet HF;Sykehuset Innlandet;Lillehammer;Lillehammer;115;2b;Generell <50;
42088921;Lovisenberg;Lovisenberg;4208892;Privat;Lovisenberg Diakonale sykehus AS;Lovisenberg;Lovisenberg Diakonale sykehus;Lovisenberg;142;2b;Generell <50;
